"","p-value","fold change"
"4766",0.0186067761486564,-1.30622174953258
"4716",0.135974910085638,1.21876888776179
"4559",0.350444618120839,1.15735150865608
"4531",0.000473626967519832,1.47953250362413
"4529",0.208131796310247,-1.34863523169696
"3294",0.401934765956101,1.05434534558817
"3228",0.814494082401684,1.03880750532884
"3161",0.302402223633485,-1.2086890777997
"3029",0.420924805151525,1.36947221390801
"2936",0.142417283375325,1.09206945107765
"2476",0.806476720648872,-1.05174472205614
"2193",0.256750504506436,-1.12752233920424
"2061",0.221729905491552,1.10265722751206
"2031",0.141658156719706,-1.28662782112208
"1996",0.352746754142932,1.10693881000676
"1981",0.712001421710653,1.02902119005911
"1970",0.258740286429597,-1.23503708917533
"1909",0.295845485252685,1.06884218647249
"1878",0.149023616590732,1.10204799044546
"1875",0.0955271786990752,1.12643625935474
"1806",0.230127598494936,1.541169848941
"1725",1.16989042063783e-06,-1.85273599740085
"1704",0.00874834648535827,1.72226069620419
"1700",0.132511919557923,1.10854689901141
"1684",0.636293356304525,-1.12948707472715
"1673",0.00583986492109687,-1.64944901204029
"1064",0.49401448227537,-1.13586153485565
"1029",0.332280946663421,1.09984418082128
"889",0.886842011792183,1.01100420916775
"657",0.312152058258712,1.12254156502103
"490",0.835402397029794,1.02865583818041
"448",0.0311383093420657,1.28996716111962
"168",0.235219535648388,1.47220343297694
"137",0.0846610745502945,1.09846017632822
"128",0.124795094483159,-1.40297289878582
"62",0.848019622475187,-1.02066501652361
"39",0.025846606512146,1.13079407769497
